TestName,Metric,Value,Unit,Timestamp
GrpcBatchOperationThroughput,batch_write_10_latency,18.132944,ms,1751112577201
GrpcBatchOperationThroughput,batch_write_10_throughput,551.482429,ops/sec,1751112577202
GrpcBatchOperationThroughput,batch_write_10_bandwidth,0.134639,MB/sec,1751112577202
GrpcBatchOperationThroughput,batch_get_10_latency,16.669088,ms,1751112577202
GrpcBatchOperationThroughput,batch_get_10_throughput,599.912845,ops/sec,1751112577202
GrpcBatchOperationThroughput,batch_get_10_bandwidth,0.146463,MB/sec,1751112577203
GrpcBatchOperationThroughput,batch_write_50_latency,5.328588,ms,1751112577213
GrpcBatchOperationThroughput,batch_write_50_throughput,9383.348835,ops/sec,1751112577214
GrpcBatchOperationThroughput,batch_write_50_bandwidth,2.290857,MB/sec,1751112577214
GrpcBatchOperationThroughput,batch_get_50_latency,4.169537,ms,1751112577214
GrpcBatchOperationThroughput,batch_get_50_throughput,11991.739131,ops/sec,1751112577214
GrpcBatchOperationThroughput,batch_get_50_bandwidth,2.927671,MB/sec,1751112577214
GrpcBatchOperationThroughput,batch_write_100_latency,5.876988,ms,1751112577227
GrpcBatchOperationThroughput,batch_write_100_throughput,17015.518834,ops/sec,1751112577227
GrpcBatchOperationThroughput,batch_write_100_bandwidth,4.154179,MB/sec,1751112577227
GrpcBatchOperationThroughput,batch_get_100_latency,4.685516,ms,1751112577228
GrpcBatchOperationThroughput,batch_get_100_throughput,21342.366561,ops/sec,1751112577228
GrpcBatchOperationThroughput,batch_get_100_bandwidth,5.210539,MB/sec,1751112577228
GrpcBatchOperationThroughput,batch_write_500_latency,12.444127,ms,1751112577255
GrpcBatchOperationThroughput,batch_write_500_throughput,40179.596367,ops/sec,1751112577256
GrpcBatchOperationThroughput,batch_write_500_bandwidth,9.809472,MB/sec,1751112577256
GrpcBatchOperationThroughput,batch_get_500_latency,10.688303,ms,1751112577256
GrpcBatchOperationThroughput,batch_get_500_throughput,46780.110931,ops/sec,1751112577256
GrpcBatchOperationThroughput,batch_get_500_bandwidth,11.420926,MB/sec,1751112577261
GrpcBatchOperationThroughput,batch_write_1000_latency,16.992087,ms,1751112577310
GrpcBatchOperationThroughput,batch_write_1000_throughput,58850.922785,ops/sec,1751112577310
GrpcBatchOperationThroughput,batch_write_1000_bandwidth,14.367901,MB/sec,1751112577310
GrpcBatchOperationThroughput,batch_get_1000_latency,12.556272,ms,1751112577310
GrpcBatchOperationThroughput,batch_get_1000_throughput,79641.473202,ops/sec,1751112577311
GrpcBatchOperationThroughput,batch_get_1000_bandwidth,19.443719,MB/sec,1751112577311
